record_id,topic,institution_or_school,metric,value,unit,school_area,distance_band,price_kind,source_type,source_url,screenshot_path,publish_or_update_time,crawl_time,old,confidence,verification_status,notes
YS_POI_014,nearby_tuoguan_poi,阳光托教(营市街),存在性_地址,营市街槐苑欣城东侧约70米,,营市东街,≤500m,,地图列表复用,https://www.dianping.com/shop/k4txQZ13B3t5xIxa,,,2026-09-16T04:46:32-07:00,0,medium,reuse_v1_poi_retag_reverify_needed,reuse_from=06_maps_reviews/poi+institutions;非2026新证照核实
YS_SOC_001,social_koubei,花儿朵朵托辅中心,大众点评评分,3.9,分,营市东街,,,用户评论,https://www.dianping.com/shop/l2a3jfI9AM8YGvQC,,,2026-09-16T04:46:32-07:00,0,medium,reuse_dianping_v1_reverify,约7条评价;摘要称老师耐心/开多年
YS_SOC_002,social_koubei,致远托管,大众点评评分,3.6,分,营市东街,,,用户评论,https://www.dianping.com/shop/H8k6oFqedjN26KQf,,2019-08-28,2026-09-16T04:46:32-07:00,1,low,reuse_dianping_old_review,评价偏旧;old=1勿当2026口碑
YS_SOC_003,social_koubei,阳光托教(营市街),评价摘要,针对营东和南辛庄小学的小饭桌,,营市东街,,,用户评论,https://www.dianping.com/shop/k4txQZ13B3t5xIxa,,2016-09-13,2026-09-16T04:46:32-07:00,1,low,reuse_dianping_old_review,
YS_SOC_004,social_account,营东小学天天托管来啦,抖音账号存在,有招生帖,,营市东街,,,用户评论,douyin_search:营市东街小学 托管,,2024-08,2026-09-16T04:46:32-07:00,0,low,reuse_douyin_v1_reverify,
YS_SOC_005,social_account,济南武老师教育精品一站式托辅,抖音提及营市东街,#营市东街 托管,,营市东街,,,用户评论,douyin_search,,,2026-09-16T04:46:32-07:00,0,low,reuse_douyin_v1_reverify,
YS_PR_001,price,济南小饭桌行业访谈(匿名),只吃午饭,550,元/月,营市东街,,历史旧价,官方事实,https://news.iqilu.com/shandong/shandonggedi/20180508/3908948.shtml,,2018-05-08,2026-09-16T04:46:32-07:00,1,medium,historical_not_2026,
YS_PR_002,price,济南小饭桌行业访谈(匿名),午饭+下午托管,700,元/月,营市东街,,历史旧价,官方事实,https://news.iqilu.com/shandong/shandonggedi/20180508/3908948.shtml,,2018-05-08,2026-09-16T04:46:32-07:00,1,medium,historical_not_2026,
YS_PR_003,price,(匿名评论·槐荫),午餐+看作业口述,900,元/月,营市东街,,评论口述价,用户评论,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,2025-07-20,2026-09-16T04:46:32-07:00,0,low,reuse_v2_comment_aggregate,
YS_PR_004,price,(匿名评论·济南),午餐小饭桌口述,750,元/月,营市东街,,评论口述价,用户评论,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,2025-07-20,2026-09-16T04:46:32-07:00,0,low,reuse_v2_comment_aggregate,
YS_PR_005,price,(匿名评论·济南),午餐+晚餐口述,1100,元/月,营市东街,,评论口述价,用户评论,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,2025-07-20,2026-09-16T04:46:32-07:00,0,low,reuse_v2_comment_aggregate,
YS_PR_006,price,(匿名评论·济南),午托口述,450,元/月,营市东街,,评论口述价,用户评论,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,2025-07-20,2026-09-16T04:46:32-07:00,0,low,reuse_v2_comment_aggregate,
YS_PR_007,price,(匿名评论·济南),午晚托口述,2000+,元/月,营市东街,,评论口述价,用户评论,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,2025-07-20,2026-09-16T04:46:32-07:00,0,low,reuse_v2_comment_aggregate,
YS_PR_008,price,贝尔安亲(泉景校区·对照),晚托周体验团购,599,元/周体验,营市东街,,团购价,地图团购,http://t.dianping.com/deal/1664209224,,2026-09-16,2026-09-16T04:46:32-07:00,0,medium,reuse_v2_dianping,对照非营东门口
YS_PR_009,price,贝尔安亲(泉景校区·对照),五天全托体验午+晚,197,元/5天,营市东街,,体验价,地图团购,https://www.dianping.com/shop/kaV5uESeS4P2RCkN,,2026-09-16,2026-09-16T04:46:32-07:00,0,medium,reuse_v2_dianping,
YS_RENT_001,large_rent_near_school,新世界阳光花园商铺,面积,400,㎡,营市东街,近新世界/营东,,地图团购,https://m.anjuke.com/jn/sp/zu/huaiyinqu/,,,2026-09-16T04:46:32-07:00,0,medium,anjuke_list_snippet,面议;可明火/上下水/380V
YS_RENT_002,large_rent_near_school,经五路309号商业街双层商铺,月租,16000,元/月,营市东街,西市场·经五路,,地图团购,https://m.anjuke.com/jn/sp/zu/huaiyinqu/,,,2026-09-16T04:46:32-07:00,0,medium,anjuke_list_snippet,380㎡;约42元/㎡/月
YS_RENT_003,large_rent_near_school,营市东街小学正对面槐苑花园口,面积,160,㎡,营市东街,正对面,,广告宣传,http://www.jinanspw.com/view/?id=38297,,2026-01-26,2026-09-16T04:46:32-07:00,0,medium,detail_html_ok,低于250㎡目标带;近校对照
YS_RENT_004,large_rent_near_school,五院东邻槐苑文体公园大铺,面积,2000可分租,㎡,营市东街,体育场南侧约50m,,地图团购,https://m.anjuke.com/jn/sp/zu/,,,2026-09-16T04:46:32-07:00,0,low,anjuke_list_snippet,面议;可分租潜在覆盖300-600
YSD_BROWSER_02,浏览器公开检索,金牌托管中心,listing_or_signal,中小学课后托管,,营市东街,,,用户评论,https://www.dianping.com/shop/jAingcO9vUNsXNVG,dianping_jinpai_detail.png,,2026-09-16T04:53:16-07:00,0,B,public_visible,platform=大众点评; loc=营市东街28号；距地铁4号线营市街站A口步行约400m; 公开搜索命中“营市东街托管”；页面未显示价格
YSD_BROWSER_03,浏览器公开检索,济南槐荫思文营东校外托管中心,listing_or_signal,校外托管,,营市东街,,,用户评论,https://www.baidu.com/s?wd=营东+托管+济南,baidu_yingdong_business.png,,2026-09-16T04:53:16-07:00,0,B,public_visible,platform=百度/爱企查索引; loc=经六路612号203室; 百度索引显示儿童临时看护服务；搜索摘要称已注销；未见公开收费，需谨慎核验
YSD_BROWSER_04,浏览器公开检索,恐龙童成儿童成长中心,listing_or_signal,小学生托管,,营市东街,,,用户评论,https://www.xiaohongshu.com/explore/69fee543000000002202bb05,xhs_dinosaur_center.png,,2026-09-16T04:53:16-07:00,0,B,public_visible,platform=小红书; loc=济南（具体校址未公开）; 公开笔记内容强调干净舒适/分区管理/阅读自习/现做餐食/晚托；未显示价格；与学校步行距离未证实
YSD_BROWSER_05,浏览器公开检索,天天托管（招生视频海报）,listing_or_signal,校外托管,,营市东街,,,用户评论,https://www.douyin.com/search/营东小学%20托管费用,douyin_fee_search.png,,2026-09-16T04:53:16-07:00,0,B,public_visible,platform=抖音; loc=营东小学相关搜索结果中可见; 海报标题可见“托管班招生啦”；未显示明确价格或完整门店地址；名称按海报记录
YSD_BROWSER_06,浏览器公开检索,营东小学课后托管政策参考,listing_or_signal,免费；拓展性课程每学期几十至几百元（AI问答示例含200元/学期）,,营市东街,,school_policy_reference,用户评论,https://www.douyin.com/search/营东小学%20托管费用,douyin_fee_search.png,,2026-09-16T04:53:16-07:00,0,B,public_visible,platform=抖音; loc=营东小学相关搜索结果; 抖音AI问答摘要称基础托管免费、拓展性课后服务收费；具体以爱山东/学校小程序公示为准，不当作已核实价目
YSD_BROWSER_07,浏览器公开检索,营市东街小学课后延时服务（政策参考）,listing_or_signal,≤3.5元/生/课时,,营市东街,,policy_cap_public_search_summary,用户评论,https://www.baidu.com/s?wd=营市东街小学+延时服务+收费,baidu_fee_policy.png,,2026-09-16T04:53:16-07:00,0,B,public_visible,platform=百度/学校公告索引; loc=槐荫区；学校2026年9月遴选第三方合作机构摘要; 公开搜索摘要称具体收费尚未公布；政策层面上限为每生每课时不超过3.5元，最终以学校/区级公示为准；非校外托管价目
