platform,source_keyword,account_name,posted_at,duration,likes_shown,caption,public_price,captured_at
douyin,槐荫托管,精心托管槐荫区医学中心小学宸园北区12号,6天前,图文,6,教师节到了，送给一线老师们，细心用心教育陪伴孩子,,2026-09-15T23:07:00-07:00
douyin,槐荫托管,济南卓安官方号,1天前,00:32,9,#济南托管 #小班托管 #济南同城 #卓安 #课后陪伴,,2026-09-15T23:07:00-07:00
douyin,槐荫托管,济南槐荫小火竹官方号,7月28日,00:33,18,高投入的托管中心，哪里区别于普通小饭桌？#槐荫区托管 #小火竹托管,,2026-09-15T23:07:00-07:00
douyin,济南小饭桌,大明湖的夏耦合,2021年5月30日,01:06,1164,学校有配餐的建议二年级再去吃，小饭桌是刚需，但行业错综复杂。,,2026-09-15T23:07:00-07:00
douyin,济南小饭桌,省实验校内王老师,7月25日,01:25,38,沉浸式体验高中小饭桌做饭的一天 #日常 #vlog #济南,,2026-09-15T23:07:00-07:00
douyin,济南小饭桌,壹心托管济南校区,2025年9月15日,00:18,22,百万级别小饭桌，都给孩子们吃什么？带大家看一看,,2026-09-15T23:07:00-07:00
douyin,济南小饭桌,壹心托管济南校区,2025年11月23日,00:16,166,托管天花板，神仙小饭桌，就是这么硬核 #济南壹心托管,,2026-09-15T23:07:00-07:00
douyin,济南小饭桌,济南老董,6月18日,03:00,33,上小学了要不要报小饭桌？家长经验分享 #济南小学 #济南小饭桌,,2026-09-15T23:07:00-07:00
douyin,济南小饭桌,济南天才自助餐托管中心,6月3日,02:16,14,把饭做好，孩子吃饱，家长认可，这就是口碑 #托管用餐 #学生餐,,2026-09-15T23:07:00-07:00
douyin,泉景托管,天朗气清,2025年8月22日,01:28,4,#新学期 #托管 #一切为了孩子 #学习 #见证成长,,2026-09-15T23:07:00-07:00
douyin,泉景托管,ꕥ多财💞多亿,6月23日,图文,5,泉景小学附近新开托管，做接校、托管、寒暑假、餐食和作业反馈 #泉景小学 #卧龙花园,,2026-09-15T23:07:00-07:00
douyin,泉景托管,龙兴之家 课后伴学,3天前,图文,9,泉景小学对门托管；每日新鲜食材，荤素均衡搭配；龙兴之家课后伴学,,2026-09-15T23:07:00-07:00
douyin,泉景托管,ꕥ多财💞多亿,6月18日,00:20,5,泉景中学对面19号楼托管开业，幼小衔接，一二年级 #卧龙花园 #泉景中学,,2026-09-15T23:07:00-07:00
douyin,泉景托管,壹心托管济南校区,2025年7月26日,00:32,15,托管天花板，神仙小饭桌，吃货娃挑食娃都来做壹心的娃 #泉海学校,,2026-09-15T23:07:00-07:00
douyin,泉景托管,努力的龙,8月5日,01:14,102,谁家托管点100杯果汁啊 #托管班 #托管上班日常,,2026-09-15T23:07:00-07:00
douyin,西客站托管,济南书法飒老师,9月1日,00:12,10,开学第一天 #新学期托管 #缘承托管 #专业晚辅 #济南托管 #西客站,,2026-09-15T23:07:00-07:00
douyin,西客站托管,六六托管中心闫老师🙋（高端，专业）,3月7日,03:39,17,#托管 #济南；一心只做托管，用心用爱撑起托管的孩子！,,2026-09-15T23:07:00-07:00
douyin,西客站托管,安馨托教｜西站路小学 52中午晚托,8月21日,00:09,14,@安馨托教｜西站路小学 52中午晚托,,2026-09-15T23:07:00-07:00
douyin,西客站托管,美吉精品托管,2025年8月22日,01:01,17,七里河区西站美吉精品托管火热招生中,,2026-09-15T23:07:00-07:00
douyin,西客站托管,贝尔安亲课后托管加盟,3月20日,03:45,251,实地探访，学期收费17800元的托管；托管收费与餐食探店,17800元,2026-09-15T23:07:00-07:00
douyin,营市东街小学 托管,💕济南武老师教育精品一站式托辅✨,8月29日,00:23,11,#营市东街 做一家让家长认可省心的托管机构,,2026-09-15T23:07:00-07:00
douyin,营市东街小学 托管,营东小学天天托管来啦,2024年8月30日,00:30,5,#新学期新开始 #托管 招生啦,,2026-09-15T23:07:00-07:00
douyin,营市东街小学 托管,萌雅童乐托管,2022年8月2日,02:44,26,营市街幼儿园位于营市东街44号；普惠性幼儿园，传统文化、鼓乐、书法、棋类等特色课程,,2026-09-15T23:07:00-07:00
douyin,营市东街小学 托管,李星野,7月23日,00:59,149,用心、长久、安全；靠实打实的口碑积累记录托管校区成长,,2026-09-15T23:07:00-07:00
douyin,营市东街小学 托管,老谢家的二姑娘,8月23日,01:20,36,一日托管流程，期待更多的宝贝加入我们 #托管,,2026-09-15T23:07:00-07:00
douyin,营市东街小学 托管,东街小学欣悦托辅,8月31日,02:43,27,托管班大门已敞开，等待热爱学习的小小探索者 #开学季 #招生季,,2026-09-15T23:07:00-07:00
douyin,营市东街小学 托管,营东小学天天托管来啦,2024年7月10日,00:15,4,下午数学课学习；理论与实践结合 #营市东街小学 #天天托管,,2026-09-15T23:07:00-07:00
douyin,槐荫区实验学校 托管,花锦时代,8月22日,图文,0,槐荫实验学校附近晚辅：20人以下小班、作业全查、错题精讲、接送方便、健康晚餐；原价880元/月，前10名首月减100元，39.9元体验3天含晚餐,880元/月,2026-09-15T23:07:00-07:00
douyin,槐荫区实验学校 托管,贝尔优能任兴校区,3月20日,00:33,50,实验学校附近报托管就找王老师；专业、更靠谱,,2026-09-15T23:07:00-07:00
douyin,槐荫区实验学校 托管,小星星学堂【优优老师】,4月22日,00:22,11,#实验中学 #实验托管 #托管日常,,2026-09-15T23:07:00-07:00
douyin,槐荫区实验学校 托管,壹心托管济南校区,2025年6月26日,03:19,37,校区从市场调研到落地成型；记录建设过程 #高端托管 #泉海中学,,2026-09-15T23:07:00-07:00
douyin,杨柳春风学校 托管,万小妹,5月18日,02:56,61,济南最美学校，绿城育华杨柳春风学校食堂；一蔬一饭藏教养,,2026-09-15T23:07:00-07:00
douyin,杨柳春风学校 托管,济南杨柳春风（正信置业）,2021年11月1日,01:27,344,#小春风播报 #名校；学校师资水平介绍,,2026-09-15T23:07:00-07:00
douyin,杨柳春风学校 托管,龚老师和她的托管朋友,6月16日,00:08,286,和托管老师闹过别扭，换了几家对比后觉得这家靠谱,,2026-09-15T23:07:00-07:00
douyin,杨柳春风学校 托管,十七小学繁星托管,2天前,00:31,14,开学两个星期了；做托管的是良心，尽心即可,,2026-09-15T23:07:00-07:00
douyin,杨柳春风学校 托管,诺德城依春然托管,2025年8月16日,关于依春然,,关于依春然；托管班、小饭桌、小学,,2026-09-15T23:07:00-07:00
douyin,杨柳春风学校 托管,济南杨柳春风（正信置业）,2022年3月1日,05:46,105,绿城育华杨柳春风幼儿园云参观 #济南,,2026-09-15T23:07:00-07:00
douyin,杨柳春风学校 托管,长清恒大育贤博跃托管—李老师,16小时前,01:49,6,好的习惯在日复一日的陪伴中悄然生根,,2026-09-15T23:07:00-07:00
douyin,泉新学校 托管,壹心托管济南校区,2025年8月21日,02:04,25,什么情况啊来了就不想走的托管见过么 #济南壹心托管,,2026-09-15T23:07:00-07:00
douyin,泉新学校 托管,壹心托管济南校区,2025年7月5日,01:39,7,市中区泉海学校对面开了一家星级托管，出校门步行一分钟,,2026-09-15T23:07:00-07:00
douyin,泉新学校 托管,壹心托管济南校区,2025年7月24日,00:36,13,做托管要站在家长角度，用真心换放心,,2026-09-15T23:07:00-07:00
douyin,泉新学校 托管,新智托管,1天前,04:57,23,托管老师日常：接娃、维持秩序、订正错题，沉浸式辅导,,2026-09-15T23:07:00-07:00
douyin,泉新学校 托管,静慧托管～雪婷,6月24日,晚辅标准化,,晚辅但不是普通晚辅；标准化流程、个性化一对一辅导,,2026-09-15T23:07:00-07:00
douyin,医学中心实验学校 托管,成立志,8月23日,00:38,49,志立成长中心开始招生；自理、自立，做真教育,,2026-09-15T23:07:00-07:00
douyin,医学中心实验学校 托管,乐思托辅,7月3日,00:32,6,实验中学校区托管，只有12个床位，招满即可,,2026-09-15T23:07:00-07:00
douyin,医学中心实验学校 托管,壹心托管济南校区,2025年7月11日,00:42,48,壹心只做一件事，用心做好一件事；托管正式启航,,2026-09-15T23:07:00-07:00
douyin,医学中心实验学校 托管,94年小王｜盘锦初中晚自习托管,8月14日,01:16,3,实验中学新初一家长注意；爱顿校区安可托管中心环境展示,,2026-09-15T23:07:00-07:00
douyin,医学中心实验学校 托管,云朵中心,8月31日,04:37,83,开学前一天校区安全、卫生标准讲解,,2026-09-15T23:07:00-07:00
douyin,医学中心实验学校 托管,博尔安亲托管中心官方号,2023年4月8日,02:35,8,专业托管用心让家长放心 #作业辅导 #课后服务,,2026-09-15T23:07:00-07:00
douyin,泉海学校 托管,壹心托管济南校区,2025年10月14日,00:33,19,上学的孩子拼脑力也是拼体力，为泉海校区娃娃成长助力，用心做好每一餐,,2026-09-15T23:07:00-07:00
douyin,泉海学校 托管,壹心托管济南校区,2025年12月20日,00:29,15,这里是济南壹心托管泉海校区；很高兴认识你,,2026-09-15T23:07:00-07:00
douyin,泉海学校 托管,泉海托管,3月21日,00:29,3,济南泉海学校附近专业托辅 #托管 #泉海学校 #素养课堂,,2026-09-15T23:07:00-07:00
douyin,泉海学校 托管,乐恩托管,5小时前,00:17,0,每一刻都值得被记录 #泉海学校 #乐恩托管 #晚辅日常,,2026-09-15T23:07:00-07:00
douyin,泉海学校 托管,壹心托管济南校区,2025年8月5日,00:28,12,想要了解的过来看看吧 #每日分享,,2026-09-15T23:07:00-07:00
douyin,济南小饭桌|济南托管,壹心托管济南校区,2026-08-18,00:24,14,牛来替大家逛壹心托管🐮 逛完只想说一句：妈妈，我也想来！#牛来 #高端托管 #托管,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:22,2,🪄趣味小剧场｜银角大王上线 一声魔法，将孩子们收进水杯。 杯启的瞬间，一张张笑脸满怀期待， 开心等候老师的陪伴。 在贝尔安亲，课后时光满是欢喜与温暖💛 #贝尔安亲历山校区#托管,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:34,5,📩贝尔安亲历山校区｜校区环境，请查收💛 🏡整洁明亮的学习环境， ❣️源于每一位贝尔安亲老师的用心尽责。 🧹大扫除不放过任何一处卫生死角， 🌟于平凡细碎的日常里，饱含对孩子的用心守护。 💐把认真藏进一件件重复的小事， ❤️静待孩子们在这里收获成长，奔赴美好。 #历山学校 #贝尔安亲 #高端托管 #小饭桌,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:21,6,【贝尔安亲·上学啦】 小羊军团已集结🐑🚩 爸爸妈妈请查收今日份元气💯 在学校会乖乖听讲📚、好好干饭🍚~ （偷偷说：今天也是超厉害的小羊！😎） #贝尔安亲 #上学 #历山学校 #小饭桌,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:22,5,☀️美好午间，习惯赋能💛 🏫贝尔安亲｜午间校长时间🌿 🪑端正坐姿训练，守护挺拔体态；✍️规范握笔指导，纠正书写姿势；🔢趣味数字描红，夯实书写基础。于一段静谧的午休前时光，不追求进度的快速推进，专注打磨孩子受益长久的底层习惯✨。在细致、专业的引导下，一点点建立规则感，积蓄入学底气。 #贝尔安亲历山校区 #贝尔安亲 #历山学校 #小饭桌,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,01:10,3,☀️晨光启智，初心共读💛 📖贝尔安亲教师晨间能量朗读🌿 👀看见情绪，看见状态，看见进步，也看见需要；🤍温和有态度，坚定有方法。🙅‍♀️我们坚持，不用催促代替教育，不用情绪去解决成长里的问题。✅不只关注学习任务的完成，💡更读懂每一个行为背后，渴望被看见的童心✨。🔍以细致的观察读懂孩子，🤝以有边界的温柔陪伴成长。💫把教育理念内化于心，外化于行，💛用更专业、更有温度的力量，守护每一段童年旅程。 #贝尔安亲历山校区 #教师晨读#托管,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:40,8,💛用爱陪伴孩子，用标准守住服务✨ 📖先懂爱，再懂教；把每一个细节，做成孩子成长的力量🌱 作为全国连锁高端课后托管品牌🏫，我们以标准化体系保障安全接送🚦，以科学搭配提供精致营养膳食🍱，以系统化课程培育优良行为习惯📋。不止妥善安顿孩子放学后的时光，更在一餐一饭、一朝一夕的专业照料中，兼顾课业提升、品格塑造与综合能力养成，用高品质服务，让孩子的每一步成长清晰可见💫 #贝尔安亲历山校区 #高端课后托管#历山小学 #小饭桌,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:51,3,🌾秋风送爽，蓄势启航✨ 📋一场向着更高品质发展的秋季动员，既是对过往服务经验的复盘沉淀，也是新学期发展蓝图的谋篇布局。💡全体贝尔安亲教师将秉持专业育人的理念，📚精进教研、💁优化服务、✅严控细节，💛以严谨与热忱，护航孩子每一段成长之路。 #贝尔安亲历山校区 #2026秋季动员大会,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,01:38,97,这家历山小学的托管火爆原因竟然是这个！#贝尔安亲#济南历山小学 #托管 #一年级,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:41,278,《贝尔安亲老师规》 多赞少责，给予孩子自信🥰 行动影响，以身教代言传💐 耐心聆听，让沟通更有效👂 接纳本真，爱孩子的样子👶 平等沟通，解孩子的逆反✅ 用心陪伴，传递爱的温度❤️#贝尔安亲#老师 #托管,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:25,8,✅火爆对错手举牌测评来袭📸 📖认真完成练习｜专注笃学 🍚光盘进餐｜惜食有礼 👂静心聆听｜虚心受教 🛏自主叠被｜自理自立 🚶有序列队｜快静齐整 📚沉浸阅读｜静心品读 🪑坐姿端正｜身姿规范 🎤上台展示｜自信登台 💡好习惯，藏在一点一滴日常里 学习、纪律、生活自理同步培养✨ 看见孩子每一份微小的进步与闪光🌟 #贝尔安亲历山校区 #习惯养成 #托管日常,,2026-09-16T00:26:00-07:00
douyin,济南历山学校贝尔安亲托管,济南历山学校贝尔安亲托管,,00:43,6,🔔用奔驰的广告语说：贝尔安亲 即使您因为一时的安排，选择了其他托管 但终有一天，您会遇见真正适合孩子的成长港湾🏡 晨昏有守，朝夕有伴✨ 一程习惯，二程根基，三程厚积🧩 微光伴学，静待孩子慢慢成长 何以安心？唯有贝尔安亲❤️ #以专业守护孩子成长 #贝尔安亲历山校区 #小学生课后托管 #低年级习惯培养,,2026-09-16T00:26:00-07:00
