institution_id,school_area_precise,brand_name,storefront_name,legal_name,address,distance_to_school,schools_served,grades,phone,douyin_url,xhs_url,dianping_url,poi_url,chain_flag,branch_count_clue,operating_2026_evidence,services,latest_close_time,teacher_student_ratio,venue_area_floor,kitchen_nap_rooms,student_count_clues,enrollment_status,match_confidence,source_url,screenshot_path,source_type,verification_status,collected_at,notes
inst_4501fa699c,阳光100参照,芽趣托教(阳光100校区),芽趣托教(阳光100校区),,济南市槐荫区阳光100,阳光100片区(非泉新校门精确),阳光100小学/中学等(未逐一核验),小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌/托管,,,,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory; tagged_阳光100参照_not_泉新核心,2026-09-16T01:56:33-07:00,v1误标area_quanxin；本轮改标阳光100参照
inst_439720f86b,泉新学校,新智托管,新智托管,,,,泉新学校,,,,,,,N,,social_account_hit,托管,,,,,,unknown,B,file://research/jinan_tuoguan_2026/school_competition.csv,,广告宣传,social_only_no_storefront_address,2026-09-16T01:56:33-07:00,
inst_b258332a72,泉新学校,静慧托管～雪婷,静慧托管,,,,泉新学校,,,,,,,N,,social_account_hit,托管,,,,,,unknown,B,file://research/jinan_tuoguan_2026/school_competition.csv,,广告宣传,social_only,2026-09-16T01:56:33-07:00,
inst_70feb8f01e,杨柳春风学校,真爱小饭桌,真爱小饭桌,,济南市兴福佳苑2-3-301,近杨柳春风/医学中心片,杨柳春风学校;医学中心实验学校,小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌,,,住宅3F,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory,2026-09-16T01:56:33-07:00,
inst_b26acc6447,杨柳春风学校,锦绣放心小饭桌,锦绣放心小饭桌,,济南市锦绣城2期4号楼2单元201,锦绣城/西客站片,杨柳春风学校;医学中心实验学校,小学,,,,,http://jn.bendibao.com/edu/2017918/47248.shtm,N,,historical_list_only,小饭桌,,,住宅2F,,,unknown,A,http://jn.bendibao.com/edu/2017918/47248.shtm,,官方事实,stale_directory,2026-09-16T01:56:33-07:00,
inst_2c4ef2679d,杨柳春风学校,十七小学繁星托管,繁星托管,,,,杨柳春风学校(社交检索命中),,,,,,,N,,social_account_hit,托管,,,,,,unknown,B,file://research/jinan_tuoguan_2026/institutions.csv,,广告宣传,social_only; name含十七小学需再核与杨柳关系,2026-09-16T01:56:33-07:00,
inst_5384a28c51,杨柳春风学校,诺德城依春然托管,依春然托管,,,,杨柳春风学校(社交命中),,,,,,,N,,social_account_hit,托管,,,,,,unknown,B,file://research/jinan_tuoguan_2026/institutions.csv,,广告宣传,social_only,2026-09-16T01:56:33-07:00,
inst_72290a1b84,杨柳春风学校,龚老师和她的托管朋友,龚老师托管,,,,杨柳春风学校,,,,,,,N,,social_account_hit,托管,,,,,,unknown,B,file://research/jinan_tuoguan_2026/institutions.csv,,广告宣传,social_only,2026-09-16T01:56:33-07:00,
xhs_danzi_qjzx,泉景中学,蛋仔妈咪666·泉景中学小饭桌,泉景中学小饭桌(账号自称),,,自称泉景中学附近,泉景中学,小学/初中未明,,,https://www.xiaohongshu.com/explore/673098bd000000001a01dd9c,,,N,,xhs_2024_posts,小饭桌;最晚约六点(评论回复),约18:00(评论口述),,,,,unknown,B,https://www.xiaohongshu.com/explore/673098bd000000001a01dd9c,,广告宣传,account_self_claim_no_legal_name_price_missing,2026-09-16T01:56:33-07:00,另有笔记https://www.xiaohongshu.com/explore/673bfbe2000000000702a37c 泉景中学小学部附近
xhs_parent_qjxx_clue,泉景小学,(家长求推荐线索)绿沅幼儿园等,,,,泉景小学附近(家长口述),泉景小学(泉景中学小学部俗称),一年级,,,https://www.xiaohongshu.com/explore/6a824f6e0000000033013513,,,N,,parent_demand_2025-08,小饭桌求推荐,,,,,,unknown,B,https://www.xiaohongshu.com/explore/6a824f6e0000000033013513,,用户评论,demand_signal_not_verified_operator,2026-09-16T01:56:33-07:00,评论提及绿沅幼儿园/博雅幼儿园/22号楼—未独立核实入核心名单仅作线索
inst_4a96cb7250,泉海参照,壹心托管,壹心托管济南·泉海校区,,中海国际A5地块九曲便利市场内(ASR),自称距泉海学校步行约1分钟,泉海学校,小学,,https://www.douyin.com/user/MS4wLjABAAAAaUBMtA-9SvagxcGJfXlgx1eQ3S1oGfkTKxnmmtUJdH8MPRQLIdeQwSV6JfHrTsaO,,,,N,另有胜利大街校区线索(抖音文案),douyin_active_2025_ASR_venue_tour,接送看护;全开放厨房;午休太空舱/天丝床品;多媒体教室,,,多功能分区(餐厅/午休/教室),明厨亮灶+午休区,,selective_admission_claimed,A,file://research/jinan_tuoguan_2026/09_transcripts/7525763465560313146.txt,,广告宣传,ASR_and_posts_no_public_price; NOT泉景核心,2026-09-16T01:56:33-07:00,仅作泉海参照；勿并入泉景/泉新/绿地泉景园
inst_588a9c5b27,泉海参照,馨语小饭桌,馨语小饭桌,,济南市市中区经二纬三路望平街1号南屋,,泉海学校,,,,,,,N,,v1_poi,小饭桌,,,,,,unknown,A,file://research/jinan_tuoguan_2026/institutions.csv,,官方事实,v1_seed,2026-09-16T01:56:33-07:00,
inst_73ffa8b4ee,泉海参照,状元小饭桌,状元小饭桌,,济南市市中区党杨路与玉龙山路交叉口东260米,,泉海学校,,,,,,,N,,v1_poi,小饭桌,,,,,,unknown,A,file://research/jinan_tuoguan_2026/institutions.csv,,官方事实,v1_seed,2026-09-16T01:56:33-07:00,
inst_google_ruyi_qjxx,泉景小学,儒逸金榜教育,儒逸金榜托管校区,,济南市市中区泉景园内一楼,泉景中学小学部校区内/邻近,泉景中学（小学部）,小学,,,,,,Y,,BOSS招聘结果标注2026-03-27,下课接送；午托/晚托；营养配餐；作业辅导；素质课程,,,,,,招聘/运营线索,B,https://www.google.com/search?q=%E6%B3%89%E6%99%AF%E5%B0%8F%E5%AD%A6+%E5%84%92%E9%80%B8+%E6%89%98%E7%AE%A1,03_quanjing/screenshots/google_ruyi_quanjing.png,官方事实,public_search_summary_need_direct_store_verification,2026-09-16T02:08:00-07:00,公开搜索摘要；未臆造电话、价格、容量
inst_google_yanan_qj,泉景小学,济南市延安教育培训学校,延安学校泉景校区,,泉景雅园/泉景校区（公开摘要）,泉景中学附近,济南泉景中学（小学部）,小学/初中,,,,,,Y,,公开搜索摘要,课后托管；作业辅导；午托/晚托,,,,,,公开招生/校区线索,B,https://www.google.com/search?q=%E6%B3%89%E6%99%AF%E6%A0%A1%E5%8C%BA+%E5%BB%B6%E5%AE%89%E5%AD%A6%E6%A0%A1+%E6%89%98%E7%AE%A1,,官方事实,public_search_summary_need_direct_store_verification,2026-09-16T02:08:00-07:00,搜索摘要称济南民办教育5A级机构；未核验现行价
inst_google_quanhui_qjz,泉景中学,泉慧,济南市中泉慧校外托管中心,济南市中泉慧校外托管中心（个体工商户）,,,泉景中学周边学校,小学/初中,,,,,,,,智联招聘托管老师岗位公开,校外托管；小饭桌；作业辅导；接送线索,,,,,,招聘/运营线索,B,https://jobs.zhaopin.com/CCL1518267590J40828062011.htm,03_quanjing/screenshots/google_quanhui_quanjing.png,官方事实,recruitment_evidence_not_storefront_verified,2026-09-16T02:08:00-07:00,招聘页公开，不推断具体门店地址
inst_google_xiaoshitou_lvdi,绿地泉景园,槐荫小石头,济南槐荫小石头托管中心,济南槐荫小石头托管中心,绿地泉景园一期5号楼304室,小区内,绿地泉景园周边学校,小学/初中,,,,,,,,天眼查公开存续/搜索摘要,中小学生校外托管服务,,,,,,存续线索,A,https://www.google.com/search?q=%E7%BB%BF%E5%9C%B0%E6%B3%89%E6%99%AF%E5%9B%AD+%E6%89%98%E7%AE%A1+%E6%B5%8E%E5%8D%97,03_quanjing/screenshots/google_hanhan_lvdi.png,官方事实,public_registry_summary;current_operation_not_phone_verified,2026-09-16T02:08:00-07:00,地址和经营范围来自公开搜索摘要
inst_google_hanhan_lvdi,绿地泉景园,函函,济南槐荫函函托管中心,济南槐荫函函托管中心,绿地泉景园一期1号楼2单元601室,小区内,绿地泉景园周边学校,小学/初中,,,,,,,,天眼查公开存续；搜索摘要称2019年成立,技能培训；教育辅助；中小学生课后托管,,,,,,存续线索,B,https://www.google.com/search?q=%E5%87%BD%E5%87%BD%E6%89%98%E7%AE%A1%E4%B8%AD%E5%BF%83+%E7%BB%BF%E5%9C%B0%E6%B3%89%E6%99%AF%E5%9B%AD,03_quanjing/screenshots/google_hanhan_lvdi.png,官方事实,public_registry_summary;current_operation_not_phone_verified,2026-09-16T02:08:00-07:00,公开摘要；未臆造价格/人数
inst_google_beier_qj,泉景小学,贝尔安亲,贝尔安亲（泉景校区）,,王官庄街道王官庄小区1区5号楼1-201,公开点评线索约1.5km,泉景中学小学部/泉景小学周边,小学,,,,,,Y,济南连锁品牌,品牌官网+公开地图/点评线索,课后接送；课业辅导；午餐/午休线索,公开点评摘要08:00-17:00,,,,,门店线索,B,https://www.angelbell.cn/,,官方事实,public_brand_site_and_map_clue;address_match_needs_check,2026-09-16T02:08:00-07:00,Google摘要明确提到泉景校区课后接送；门店地址来自公开点评线索，需现场核对
inst_xhs_huizhi_qjxx,泉景小学,汇智,汇智托管,,,,泉景小学周边新生家庭,小学,,,,,,,,XHS公开搜索结果出现托管门店宣传图,小学托管（服务细节未公开）,,,,,,广告/门店线索,C,https://www.xiaohongshu.com/search_result/?keyword=%E6%B3%89%E6%99%AF%E5%B0%8F%E5%AD%A6%E6%89%98%E7%AE%A1&type=51,03_quanjing/screenshots/xhs_quanjing_search_public.png,广告宣传,public_search_result_only_no_address_or_price,2026-09-16T02:08:00-07:00,截图可见汇智托管宣传图；不推断经营状态
inst_xhs_beilewei_lvdi,绿地泉景园,贝乐薇尔,贝乐薇尔托育中心泉景园区,,,,绿地泉景园周边幼儿家庭,幼儿,,,,,,,,XHS公开搜索结果出现园区宣传,托育/幼儿照护（非小学托管）,,,,,,相邻业态线索,C,https://www.xiaohongshu.com/search_result/?keyword=%E7%BB%BF%E5%9C%B0%E6%B3%89%E6%99%AF%E5%9B%AD%E6%89%98%E7%AE%A1&type=51,03_quanjing/screenshots/xhs_lvdi_search_public.png,广告宣传,public_search_result_only,2026-09-16T02:08:00-07:00,标注为相邻托育业态，不计入小学托管核心竞争
inst_xhs_greencommunity_lvdi,绿地泉景园,绿地社区托,绿地社区托（国金姊妹园）,,,,绿地泉景园周边家庭,幼儿/小学未明,,,,,,,,XHS公开搜索结果,社区托管/普惠价宣传,,,,,,广告线索,C,https://www.xiaohongshu.com/search_result/?keyword=%E7%BB%BF%E5%9C%B0%E6%B3%89%E6%99%AF%E5%9B%AD%E6%89%98%E7%AE%A1&type=51,03_quanjing/screenshots/xhs_lvdi_search_public.png,广告宣传,public_search_result_only_no_price,2026-09-16T02:08:00-07:00,相邻社区托管线索；截图标题含普惠价但无数字
inst_qinggong_yangliu,杨柳春风学校,济南市青少年宫,杨柳春风×青少年宫社区服务站,,杨柳春风泉城书吧二楼,社区内,杨柳春风社区学生,小学/初中未明,,,,,,,,2026公开报道/官方社区托管活动,暑期托管；作业辅导；劳动实践；艺术培养；兴趣阅读；体育锻炼,,,,,,公益/暑期项目,A,https://www.google.com/search?q=%E6%9D%A8%E6%9F%B3%E6%98%A5%E9%A3%8E%E4%B8%8E%E6%B5%8E%E5%8D%97%E9%9D%92%E5%B0%91%E5%B9%B4%E5%AE%AB+%E6%9A%91%E6%9C%9F%E6%89%98%E7%AE%A1,02_yangliu/screenshots/google_yangliu_qinggong_2026.png,官方事实,public_report;current_2026_program_details_need_direct_confirmation,2026-09-16T02:08:00-07:00,公益/社区托管，作为竞品供给而非商业托管
