price_id,school_area_precise,institution_id,institution_name,price_value,price_unit,service_scope,grade_range,price_kind,effective_date_or_post_date,source_url,screenshot_path,source_type,verification_status,collected_at,raw_quote
px_huajin_first_minus100,unresolved,,花锦时代(槐荫实验附近晚辅),780,元/首月,晚辅首月优惠(880-100),小学,首月优惠,2025-08-22,https://www.xiaohongshu.com/explore/6a8a7111000000002802e94b,,广告宣传,ad_claim_first10,2026-09-16T01:56:33-07:00,前10名首月减100元
px_hist_iqilu_550,unresolved,,济南小饭桌行业访谈(匿名),550,元/月,只吃午饭,小学,历史旧价,2018-05-08,https://news.iqilu.com/shandong/shandonggedi/20180508/3908948.shtml,,官方事实,historical_2018_not_2026,2026-09-16T01:56:33-07:00,如果只吃午饭，一个月550元，如果下午放学需要托管，一个月700元
px_hist_iqilu_700,unresolved,,济南小饭桌行业访谈(匿名),700,元/月,午饭+下午放学托管,小学,历史旧价,2018-05-08,https://news.iqilu.com/shandong/shandonggedi/20180508/3908948.shtml,,官方事实,historical_2018_not_2026,2026-09-16T01:56:33-07:00,下午放学需要托管，一个月700元
px_hist_dzwww_680,unresolved,,历下健康午餐服务中心(绿城百合),680,元/月,午托,中小学,历史旧价,2016-08-09,http://sd.dzwww.com/sdnews/201608/t20160809_14747391.htm,,官方事实,historical_2016_not_2026,2026-09-16T01:56:33-07:00,午托的收费为680元/月，午晚托收费980元/月
px_hist_dzwww_980,unresolved,,历下健康午餐服务中心(绿城百合),980,元/月,午晚托,中小学,历史旧价,2016-08-09,http://sd.dzwww.com/sdnews/201608/t20160809_14747391.htm,,官方事实,historical_2016_not_2026,2026-09-16T01:56:33-07:00,午晚托收费980元/月
px_hist_choc_580,unresolved,,巧克力牧场托管教育(甸柳参考),580,元/月,中午小饭桌接送+午餐+午休,中小学,历史旧价,unknown_pre_2026,http://www.ywtds.com/school/9057/,,广告宣传,off_area_reference_stale_unknown_date,2026-09-16T01:56:33-07:00,中午小饭桌：收费标准:580元/月
px_hist_choc_380,unresolved,,巧克力牧场托管教育(甸柳参考),380,元/月,下午小饭桌晚餐+辅导,中小学,历史旧价,unknown_pre_2026,http://www.ywtds.com/school/9057/,,广告宣传,off_area_reference_stale_unknown_date,2026-09-16T01:56:33-07:00,下午小饭桌：收费标准:380元/月
px_xueyijia_199,unresolved,,济南学易佳,199,元/5天,5-6岁整周适应体验课,幼升小,体验价,2025-07-30,https://www.xiaohongshu.com/explore/6a6c41290000000028007273,,广告宣传,ad_not_core_school_gate,2026-09-16T01:56:33-07:00,一周适应体验课，5天¥199
px_dy_17800_term,杨柳春风学校,inst_9aa0ab1580,贝尔安亲课后托管加盟(探店内容·西客站),17800,元/学期,高投入托管学期收费(探店口述),小学,评论口述价,2025-03-20,file://research/jinan_tuoguan_2026/02_douyin_competitors/posts.csv#西客站托管_17800,,用户评论,v1_post_caption_only_no_live_deal_page;西客站片区弱关联杨柳春风,2026-09-16T01:56:33-07:00,实地探访，学期收费17800元的托管
px_xhs_wutuo_450,unresolved,,(匿名评论·济南),450,元/月,午托,小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,comment_aggregate,2026-09-16T01:56:33-07:00,午托450/月
px_xhs_lx_1500,unresolved,,(匿名评论·领秀城),1500,元/月,下午托管,小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,off_core_area,2026-09-16T01:56:33-07:00,领秀城下午托管约1500/月
px_xhs_wd_2000,unresolved,,(匿名评论·济南),2000,元/月,午晚托,小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,comment_aggregate,2026-09-16T01:56:33-07:00,午晚托2000多/月
px_xhs_lx_1460,unresolved,,(匿名评论·历下),1460,元/月,午晚托,小学,评论口述价,2025-07-20,https://www.xiaohongshu.com/explore/6a5ef485000000001b01c1ec,,用户评论,off_core_area,2026-09-16T01:56:33-07:00,历下午晚托1460/月
px_yangliu_guided_daily_20_24,杨柳春风学校,inst_qinggong_yangliu,杨柳春风×济南青少年宫暑期托管,20-24,元/人/天,基础看护式暑期托管（公开搜索AI摘要，非门店价目）,小学/初中未明,公开指导区间,2026,https://www.google.com/search?q=%E6%9D%A8%E6%9F%B3%E6%98%A5%E9%A3%8E+%E6%9A%91%E6%9C%9F%E6%89%98%E7%AE%A1+%E4%BB%B7%E6%A0%BC,02_yangliu/screenshots/google_yangliu_qinggong_2026.png,官方事实,AI_overview_not_original_fee_notice;verify_before_use,2026-09-16T02:08:00-07:00,基础托管费（按天计费）通常20元-24元/人/天；并非杨柳春风门店正式价目
px_yangliu_guided_lunch_12_15,杨柳春风学校,inst_qinggong_yangliu,杨柳春风×济南青少年宫暑期托管,12-15,元/餐,自愿午餐（公开搜索AI摘要，非门店价目）,小学/初中未明,公开指导区间,2026,https://www.google.com/search?q=%E6%9D%A8%E6%9F%B3%E6%98%A5%E9%A3%8E+%E6%9A%91%E6%9C%9F%E6%89%98%E7%AE%A1+%E4%BB%B7%E6%A0%BC,02_yangliu/screenshots/google_yangliu_qinggong_2026.png,官方事实,AI_overview_not_original_fee_notice;verify_before_use,2026-09-16T02:08:00-07:00,午餐费（自愿选择）约12元-15元/餐；非杨柳春风学校官方价目
