unresolved_id,candidate_name,platform,platform_id,url,near_context,address,match_confidence,reason,source_type,screenshot_path,collected_at
unres_d8ea4defdd,云朵中心,douyin,douyin_comp_02d07cf4e2b70ee1,,医学中心实验学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_3a5ba87c84,努力的龙,douyin,douyin_comp_a9b8ce820af5f115,,泉景托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_d36d0ec888,大明湖的夏耦合,douyin,douyin_comp_b7809ff695fb7332,,济南小饭桌,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_3e6f6848d7,天朗气清,douyin,douyin_comp_1fa45a11c417bf78,,泉景托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_1828219a3b,天空教育官方号,douyin,douyin_comp_8f3487b99861185b,https://www.douyin.com/user/MS4wLjABAAAAXB6u9Hfgy265b-Mn1mEsIIVncQ4_dyG7QwwDnkZFA4k8oZj5KjMFIr9tnef-3bwX,槐荫托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_f350d0fa56,小星星学堂【优优老师】,douyin,douyin_comp_96135ac76da6ff93,,槐荫区实验学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_0a93136a50,彩虹泡泡教育管家,douyin,douyin_comp_38336fda9956bae1,,济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_7c38e0b2c8,成立志,douyin,douyin_comp_f4c2d96b981244dd,,医学中心实验学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_2d5ae52f4a,李星野,douyin,douyin_comp_c3e858489ced5e12,,营市东街小学 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_d478692112,济南书法飒老师,douyin,douyin_comp_53d9353c6c616021,,西客站托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_5084a5bc14,济南卓安官方号,douyin,douyin_comp_016fbd25efb745e9,,槐荫托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_6b76c53942,济南卓阳优托,douyin,douyin_comp_c9b820eb2ac47390,https://www.douyin.com/user/MS4wLjABAAAASnqzITf1VyCBa2Zt-mgaoo74JTZhRMAiU4ZJRv3aLisQNv22w9uf_T6HpiZuL1BM,济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_33ade1e8bf,济南学成课后中心,douyin,douyin_comp_601a5e78f20fdd99,https://www.douyin.com/user/MS4wLjABAAAApCAPQqLg4mwNCO4t_btg-aiUQrs7ioXegGPVB0vyZ5o,济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_1f5bea5d9f,济南市快乐助学坊成长中心～李老师,douyin,douyin_comp_ac0fec46b60c9e3b,,槐荫区实验学校 托管|泉新学校 托管|泉景托管|济南小饭桌|济南托管|西客站托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_c5390c8e07,济南慧学优安托,douyin,douyin_comp_315fe41677e17f2e,https://www.douyin.com/user/MS4wLjABAAAAM2VEn5oqax3vnF-X5IwPw3smJq6p-MZ-o4l85pRh4Pp8cWyB9FDqPynHIeJtIwyI,济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_2225d00348,济南杨柳春风（正信置业）,douyin,douyin_comp_f418762d779382f9,,杨柳春风学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_52d2167981,济南槐荫小火竹官方号,douyin,douyin_comp_e2b037707291a61d,https://www.douyin.com/user/MS4wLjABAAAAH3zONTSzG-Yo8-aLh505CHGPCjQ44e6T_8Q8vtbdbHffbHdReSXOvN7aCEXuBK,槐荫区实验学校 托管|槐荫托管|济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_58761f9d25,济南槐荫顺馨教育,douyin,douyin_comp_fca7e04cbd845108,https://www.douyin.com/user/MS4wLjABAAAAlHNe8n-9xHljuFjafYgSaoFNlWudMuYbIYEXVVCPHMs,槐荫托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_fff3fa80f1,济南老董,douyin,douyin_comp_9996e329b630f3f4,,济南小饭桌,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_beb4846fc7,济南蜗牛等等托育服务有限公司,douyin,douyin_comp_8e085f609f361d03,https://www.douyin.com/user/MS4wLjABAAAAx9hspCfPAWOr_cphRDSG9euBmHM_IAgEr8iabDWpv7AbgwPHaeSuQdx_GjNhyMXa,济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_e33f474da6,省实验校内王老师,douyin,douyin_comp_e7e29fa9f505f0a4,,济南小饭桌|济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_00abcb70ae,老谢家的二姑娘,douyin,douyin_comp_9e333e2838578145,,营市东街小学 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_8aea190497,花锦时代,douyin,douyin_comp_9c9512c9e5327d1f,https://www.douyin.com/user/MS4wLjABAAAAPJ3lf0Jz5HvHFxnqgUtQkrwjiIGy7VyZ8DqxCHK6gjeHBgWjC_IgmDr3PMkR1Qzq,槐荫区实验学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_7dde92a03e,贝尔优能任兴校区,douyin,douyin_comp_d517b62d6b951ca2,,槐荫区实验学校 托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_98b1f98e9c,郑老师教育,douyin,douyin_comp_cd9e522aff9e4145,https://www.douyin.com/user/MS4wLjABAAAAdArEeYtGLBCQbbkSqrb0f3Y1yA9oXFc9VNsxCSjRzYynuKGtkqvsk8zauvz-fK8S,济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_ee76553484,长清黑美人,douyin,douyin_comp_89156e145400e1e7,,济南托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
unres_461ba87ad8,ꕥ多财💞多亿,douyin,douyin_comp_44062ef1d6354e8b,,泉景托管,,C,抖音搜索命中但缺少济南门店强证据，或非托管机构主体；仅名称/内容相关，不并入确认机构,douyin_search,,2026-09-15T23:07:00-07:00
